Title,H index,Impact Factor
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,88,3.63822
"Proceedings - 2016 43rd International Symposium on Computer Architecture, ISCA 2016",11,0.93659
"IEEE Symposium on VLSI Circuits, Digest of Technical Papers",53,2.41021
"2014 13th International Conference on Control Automation Robotics and Vision, ICARCV 2014",1,0.58572
"Proceedings of the 12th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2015",20,1.25236
Proceedings - IEEE International Conference on Robotics and Automation,143,5.56796
Proceedings - IEEE INFOCOM,201,7.60296
IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,53,2.41021
Digest of Technical Papers - Symposium on VLSI Technology,65,2.83124
"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2016",1,0.58572
IEEE-RAS International Conference on Humanoid Robots,22,1.32253
"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014",10,0.9015
"Proceedings of Co-HPC 2014: 1st International Workshop on Hardware-Software Co-Design for High Performance Computing - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1,0.58572
IEEE Symposium on Mass Storage Systems and Technologies,19,1.21728
"2014 IEEE Workshop on Spoken Language Technology, SLT 2014 - Proceedings",5,0.72607
"Proceedings of the 11th ACM Conference on Emerging Networking Experiments and Technologies, CoNEXT 2015",10,0.9015
Technical Digest - International Electron Devices Meeting,97,3.954
European Solid-State Circuits Conference,31,1.63831
Proceedings - Design Automation Conference,105,4.23469
"Advances in Database Technology - EDBT 2014: 17th International Conference on Extending Database Technology, Proceedings",12,0.97167
"Proceedings of the 17th International Symposium on Principles and Practice of Declarative Programming, PPDP 2015",5,0.72607
"Proceedings of the 2015 IEEE International Symposium on Hardware-Oriented Security and Trust, HOST 2015",7,0.79624
Proceedings of the American Control Conference,95,3.88383
"MobiSys 2015 - Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",16,1.11202
ICN 2015 - Proceedings of the 2nd International Conference on Information-Centric Networking,9,0.86641
