Title,H Index,Impact Factor
Nature Nanotechnology,263,33.21708
Nano Energy,85,13.06907
Materials Horizons,38,12.59893
Progress in Quantum Electronics,54,11.57143
Automatica,221,7.51911
IEEE Communications Surveys and Tutorials,120,26.67925
IEEE Transactions on Automatic Control,245,5.90705
ACS Photonics,37,7.15375
IEEE Transactions on Cybernetics,60,9.34667
Nano Research,87,7.88269
Nanophotonics,31,6.94845
IEEE Transactions on Power Systems,205,6.58706
IEEE Transactions on Geoscience and Remote Sensing,197,5.79489
International Journal of Robotics Research,128,6.3209
IEEE Communications Magazine,199,12.95103
IEEE Transactions on Power Electronics,205,9.0208
Journal of Power Sources,249,7.01067
IEEE Transactions on Industrial Electronics,217,9.01653
Energy and Buildings,132,4.98488
International Journal of Robust and Nonlinear Control,85,4.3194
Energy,146,5.64784
IEEE Industrial Electronics Magazine,49,8.90123
Systems and Control Letters,117,3.4
IEEE Transactions on Medical Imaging,187,6.68839
IEEE Wireless Communications,129,10.01672
IEEE Transactions on Control Systems Technology,127,5.8786
IEEE Transactions on Robotics,121,6.06684
IEEE Transactions on Power Delivery,152,4.45072
Polymer Reviews,76,7.22414
Progress in Photovoltaics: Research and Applications,108,5.54298
IEEE Signal Processing Magazine,146,9.70588
IEEE Geoscience and Remote Sensing Magazine,13,4.12088
IEEE Journal on Selected Areas in Communications,207,9.60719
IEEE Journal of Solid-State Circuits,188,5.09648
IEEE Journal of Emerging and Selected Topics in Power Electronics,35,6.82099
IEEE Transactions on Industrial Informatics,85,8.3657
Nano-Micro Letters,27,5.96947
IEEE/ASME Transactions on Mechatronics,104,5.02038
Critical Reviews in Solid State and Materials Sciences,46,5.7551
IEEE Geoscience and Remote Sensing Letters,80,3.53217
Nonlinear Dynamics,85,4.36462
IEEE Transactions on Reliability,82,3.47337
IET Control Theory and Applications,91,4.01092
"Sensors and Actuators, B: Chemical",159,5.65439
Proceedings of the IEEE,241,9.59584
IEEE Transactions on Energy Conversion,146,5.53691
IEEE Electron Device Letters,130,3.70193
IEEE Journal on Selected Topics in Signal Processing,83,7.38024
IEEE Transactions on Antennas and Propagation,162,4.65793
IEEE Transactions on Automation Science and Engineering,62,4.95789
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",105,5.76617
Telematics and Informatics,42,4.3691
International Journal of Electrical Power and Energy Systems,88,4.60902
IEEE Transactions on Signal Processing,220,5.59636
IEEE Transactions on Wireless Communications,177,6.40291
IEEE Journal of Photovoltaics,43,3.71332
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",116,2.98036
Journal of the Energy Institute,29,3.64
Smart Materials and Structures,124,3.36835
International Review of Aerospace Engineering,10,2.20253
Beilstein Journal of Nanotechnology,39,3.5194
IEEE Journal on Selected Topics in Quantum Electronics,139,3.44665
ISA Transactions,54,4.39577
"Journal of Guidance, Control, and Dynamics",117,2.7867
IEEE Transactions on Terahertz Science and Technology,39,3.26235
"Organic Electronics: physics, materials, applications",87,3.45048
Nanotechnology,171,3.04605
Control Engineering Practice,99,3.45491
Electric Power Systems Research,95,3.31378
IEEE Antennas and Wireless Propagation Letters,89,3.89787
Superconductor Science and Technology,89,2.6947
IEEE Transactions on Industry Applications,165,4.01066
Optics and Lasers in Engineering,69,3.30826
IEEE Journal of the Electron Devices Society,17,3.49375
IEEE Transactions on Communications,182,5.0695
