Combination no,Combination,Mean Absolute Error
52,"'SJR', 'H Index', 'Ref/Doc'",0.3316625319736495
264,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",0.3327809900321326
135,"'SJR', 'H Index', 'Total Docs(2017)', 'Ref/Doc'",0.33374267158085574
147,"'SJR', 'H Index', 'Total Cites(3years)', 'Ref/Doc'",0.3344557987112503
144,"'SJR', 'H Index', 'Total Refs', 'Ref/Doc'",0.33528453841442185
140,"'SJR', 'H Index', 'Total Docs(3years)', 'Ref/Doc'",0.34237368640508675
149,"'SJR', 'H Index', 'Citable Docs(3years)', 'Ref/Doc'",0.3442864543999587
274,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.3485893114468004
285,"'SJR', 'H Index', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.35249169356657084
267,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.35864435683292484
385,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.3597520998207314
394,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.35991095887034863
283,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.361967141921278
260,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.3622533125492157
396,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.3659116381392701
269,"'SJR', 'H Index', 'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.36752080871159126
279,"'SJR', 'H Index', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.3891711576746119
406,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.40229488918422285
470,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.40584267133750185
390,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.40768851766275577
277,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.42403635566903136
404,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.42582608584207404
388,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.43486528525268525
288,"'SJR', 'H Index', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.44246221483785314
413,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.44611663551993547
468,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.4529185007114217
201,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.45395416909827424
85,"'H Index', 'Total Refs', 'Total Cites(3years)'",0.45479034525268053
