Combination no,Combination,Mean Squared error,Root Mean Squared Error
52,"'SJR', 'H Index', 'Ref/Doc'",0.17591403235434627,0.4194210680859347
147,"'SJR', 'H Index', 'Total Cites(3years)', 'Ref/Doc'",0.1794739529923872,0.4236436627548997
144,"'SJR', 'H Index', 'Total Refs', 'Ref/Doc'",0.1809989060237447,0.42543966202476313
135,"'SJR', 'H Index', 'Total Docs(2017)', 'Ref/Doc'",0.182359347483759,0.4270355342167195
264,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",0.18372189684647308,0.4286279235496366
140,"'SJR', 'H Index', 'Total Docs(3years)', 'Ref/Doc'",0.1901922193471112,0.4361103293286129
149,"'SJR', 'H Index', 'Citable Docs(3years)', 'Ref/Doc'",0.19278411722841057,0.43907188161895605
274,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.19802860586868964,0.4450040515194099
385,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.20359419503426676,0.45121413434672764
260,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.205075595914137,0.4528527309337297
285,"'SJR', 'H Index', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.20562607931909957,0.45346011877462783
283,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.21276004041374474,0.4612591900588483
396,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.2157446425520091,0.4644831994292249
269,"'SJR', 'H Index', 'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.21696784772172742,0.46579807612497437
394,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.21847358081698448,0.46741157539901007
267,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.2187459933184665,0.4677028900043985
279,"'SJR', 'H Index', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.2564027345467434,0.5063622562422513
406,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.26504857438906715,0.5148286845049207
470,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.2661551107074939,0.5159022297950396
390,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.2674386259570638,0.5171446857090033
277,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.2887624342246109,0.5373662012302327
404,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.28920713008122184,0.5377798156134366
201,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.2998177598611063,0.5475561705077446
388,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.3019275713140028,0.5494793638654711
288,"'SJR', 'H Index', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.3078672197234628,0.5548578373993314
413,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.3095460882288687,0.5563686621556508
399,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.329713083102202,0.5742064812436394
48,"'SJR', 'H Index', 'Total Refs'",0.33929122731276956,0.5824871048467679
468,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.33940161644188965,0.5825818538556532
10,"'SJR', 'H Index'",0.34064462214892466,0.5836476866645877
70,"'SJR', 'Total Cites(3years)', 'Ref/Doc'",0.3560732726539136,0.5967187550713599
49,"'SJR', 'H Index', 'Total Cites(3years)'",0.3582849110006879,0.5985690528257269
46,"'SJR', 'H Index', 'Total Docs(2017)'",0.36644291044955535,0.6053452820081737
58,"'SJR', 'Total Docs(2017)', 'Ref/Doc'",0.3721291819295909,0.6100239191454634
409,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.37295456835271124,0.6107000641499157
482,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.3733866566261652,0.6110537264645108
91,"'H Index', 'Total Cites(3years)', 'Ref/Doc'",0.37406366577986916,0.6116074441828427
159,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",0.37427869767691574,0.6117832113395363
477,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.3764257916201749,0.6135354852167679
130,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)'",0.37950316844397475,0.616038284884937
47,"'SJR', 'H Index', 'Total Docs(3years)'",0.38264651340110056,0.6185842815664657
473,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.38266265424844415,0.6185973280320924
194,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",0.38542259620950575,0.6208241266329022
294,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.3882201145122358,0.6230731213206326
155,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.3904747681301486,0.6248798029462534
