Title,SJR,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Impact Factor
Nature Nanotechnology,20.612,263,230,737,7058,18668,562.0,30.23,30.69,33.21708
Nano Energy,5.185,85,718,1305,37335,17029,1303.0,12.83,52.0,13.06907
Materials Horizons,5.025,38,111,192,8504,2356,187.0,13.04,76.61,12.59893
Progress in Quantum Electronics,3.999,54,15,23,2467,243,21.0,10.73,164.47,11.57143
Automatica,3.896,221,508,1275,14702,9444,1256.0,7.03,28.94,7.51911
IEEE Communications Surveys and Tutorials,3.661,120,125,328,19223,8484,318.0,24.0,153.78,26.67925
IEEE Transactions on Automatic Control,3.433,245,800,1212,19661,7118,1205.0,5.35,24.58,5.90705
ACS Photonics,3.376,37,402,777,18378,5444,761.0,7.2,45.72,7.15375
IEEE Transactions on Cybernetics,3.274,60,532,781,16918,7010,750.0,9.05,31.8,9.34667
Nano Research,3.064,87,490,891,19044,6921,878.0,7.46,38.87,7.88269
Nanophotonics,2.916,31,103,104,9607,674,97.0,6.14,93.27,6.94845
IEEE Transactions on Power Systems,2.742,205,681,1240,14988,7944,1206.0,5.81,22.01,6.58706
IEEE Transactions on Geoscience and Remote Sensing,2.649,197,611,1734,23172,9973,1721.0,5.63,37.92,5.79489
International Journal of Robotics Research,2.471,128,93,281,3102,1694,268.0,5.6,33.35,6.3209
IEEE Communications Magazine,2.297,199,386,1039,4561,11371,878.0,9.73,11.82,12.95103
IEEE Transactions on Power Electronics,2.215,205,993,2036,25455,18213,2019.0,8.46,25.63,9.0208
Journal of Power Sources,2.202,249,1328,5850,60773,40725,5809.0,7.03,45.76,7.01067
IEEE Transactions on Industrial Electronics,2.192,217,1112,2250,30512,20179,2238.0,8.44,27.44,9.01653
Energy and Buildings,2.061,132,900,2602,38159,12856,2579.0,4.82,42.4,4.98488
International Journal of Robust and Nonlinear Control,2.028,85,277,612,9417,2583,598.0,4.29,34.0,4.3194
Energy,1.99,146,1951,4290,86123,23896,4231.0,5.26,44.14,5.64784
IEEE Industrial Electronics Magazine,1.978,49,31,102,781,721,81.0,7.21,25.19,8.90123
Systems and Control Letters,1.939,117,138,451,3424,1513,445.0,3.05,24.81,3.4
IEEE Transactions on Medical Imaging,1.895,187,251,645,9162,4207,629.0,7.22,36.5,6.68839
IEEE Wireless Communications,1.878,129,111,325,1436,2995,299.0,9.1,12.94,10.01672
IEEE Transactions on Control Systems Technology,1.832,127,405,667,6730,3874,659.0,5.81,16.62,5.8786
IEEE Transactions on Robotics,1.822,121,120,377,3765,2269,374.0,5.86,31.38,6.06684
IEEE Transactions on Power Delivery,1.814,152,371,911,7090,4019,903.0,4.01,19.11,4.45072
Polymer Reviews,1.787,76,26,60,3332,419,58.0,6.74,128.15,7.22414
Progress in Photovoltaics: Research and Applications,1.772,108,105,479,3900,2644,477.0,5.92,37.14,5.54298
IEEE Signal Processing Magazine,1.747,146,99,292,3026,2310,238.0,7.16,30.57,9.70588
IEEE Geoscience and Remote Sensing Magazine,1.742,13,36,91,1461,375,91.0,4.44,40.58,4.12088
IEEE Journal on Selected Areas in Communications,1.741,207,214,721,8456,6677,695.0,7.76,39.51,9.60719
IEEE Journal of Solid-State Circuits,1.665,188,284,803,7809,3909,767.0,4.55,27.5,5.09648
IEEE Journal of Emerging and Selected Topics in Power Electronics,1.657,35,213,335,5569,2210,324.0,6.6,26.15,6.82099
IEEE Transactions on Industrial Informatics,1.599,85,472,624,10664,5170,618.0,6.13,22.59,8.3657
Nano-Micro Letters,1.554,27,46,133,2709,782,131.0,7.4,58.89,5.96947
IEEE/ASME Transactions on Mechatronics,1.537,104,283,790,9338,3941,785.0,4.71,33.0,5.02038
Critical Reviews in Solid State and Materials Sciences,1.51,46,16,49,3043,282,49.0,5.38,190.19,5.7551
IEEE Geoscience and Remote Sensing Letters,1.486,80,531,1324,9201,4666,1321.0,3.46,17.33,3.53217
Nonlinear Dynamics,1.468,85,820,1976,30953,8511,1950.0,4.29,37.75,4.36462
IEEE Transactions on Reliability,1.444,82,96,342,2872,1174,338.0,2.94,29.92,3.47337
IET Control Theory and Applications,1.416,91,379,833,13101,3305,824.0,3.81,34.57,4.01092
"Sensors and Actuators, B: Chemical",1.406,159,2217,4629,95443,26095,4615.0,5.75,43.05,5.65439
Proceedings of the IEEE,1.38,241,158,466,11131,4155,433.0,8.66,70.45,9.59584
IEEE Transactions on Energy Conversion,1.377,146,202,462,4392,2475,447.0,4.73,21.74,5.53691
IEEE Electron Device Letters,1.361,130,429,1203,8375,4409,1191.0,3.66,19.52,3.70193
IEEE Journal on Selected Topics in Signal Processing,1.331,83,108,357,4982,2465,334.0,5.11,46.13,7.38024
IEEE Transactions on Antennas and Propagation,1.309,162,870,2214,23518,10131,2175.0,4.5,27.03,4.65793
IEEE Transactions on Automation Science and Engineering,1.306,62,189,407,5693,1884,380.0,4.48,30.12,4.95789
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",1.303,105,567,409,13524,2318,402.0,6.02,23.85,5.76617
Telematics and Informatics,1.299,42,226,241,10371,1018,233.0,3.79,45.89,4.3691
International Journal of Electrical Power and Energy Systems,1.276,88,234,1608,7939,7356,1596.0,4.57,33.93,4.60902
IEEE Transactions on Signal Processing,1.247,220,510,1492,19378,8305,1484.0,4.91,38.0,5.59636
IEEE Transactions on Wireless Communications,1.246,177,599,1725,21870,11013,1720.0,6.11,36.51,6.40291
IEEE Journal of Photovoltaics,1.214,43,296,743,7624,2733,736.0,3.05,25.76,3.71332
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",1.183,116,179,623,6609,1821,611.0,2.79,36.92,2.98036
Journal of the Energy Institute,1.179,29,160,201,3367,637,175.0,3.86,21.04,3.64
Smart Materials and Structures,1.152,124,476,1465,18000,4874,1447.0,3.01,37.82,3.36835
International Review of Aerospace Engineering,1.148,10,37,80,1079,174,79.0,2.45,29.16,2.20253
Beilstein Journal of Nanotechnology,1.119,39,280,713,12914,2358,670.0,3.19,46.12,3.5194
IEEE Journal on Selected Topics in Quantum Electronics,1.116,139,94,579,3542,1906,553.0,2.82,37.68,3.44665
ISA Transactions,1.115,54,285,676,9342,2910,662.0,3.76,32.78,4.39577
"Journal of Guidance, Control, and Dynamics",1.104,117,294,736,9292,2012,722.0,2.54,31.61,2.7867
IEEE Transactions on Terahertz Science and Technology,1.086,39,98,362,2686,1057,324.0,3.36,27.41,3.26235
"Organic Electronics: physics, materials, applications",1.085,87,539,1462,22373,5017,1454.0,3.67,41.51,3.45048
Nanotechnology,1.079,171,1137,2892,51273,8666,2845.0,2.98,45.09,3.04605
Control Engineering Practice,1.069,99,193,509,6800,1724,499.0,3.11,35.23,3.45491
Electric Power Systems Research,1.048,95,439,1041,13991,3390,1023.0,3.33,31.87,3.31378
IEEE Antennas and Wireless Propagation Letters,1.047,89,803,1424,11335,5496,1410.0,3.8,14.12,3.89787
Superconductor Science and Technology,1.036,89,314,796,12353,2083,773.0,2.64,39.34,2.6947
IEEE Transactions on Industry Applications,1.02,165,640,1600,15496,6393,1594.0,3.39,24.21,4.01066
Optics and Lasers in Engineering,1.018,69,219,684,7000,2243,678.0,3.41,31.96,3.30826
IEEE Journal of the Electron Devices Society,1.016,17,102,168,1765,559,160.0,3.0,17.3,3.49375
IEEE Transactions on Communications,1.004,182,471,1162,13830,5835,1151.0,4.95,29.36,5.0695
IEEE Transactions on Microwave Theory and Techniques,1.0,167,533,1294,15665,4504,1238.0,3.4,29.39,3.63813
IEEE Journal of Biomedical and Health Informatics,0.991,94,271,603,7021,2593,579.0,4.25,25.91,4.47841
IEEE Control Systems,0.983,99,101,261,1405,536,178.0,2.79,13.91,3.01124
IEEE Transactions on Circuits and Systems for Video Technology,0.977,151,350,520,8943,2732,513.0,4.83,25.55,5.32554
IEEE Photonics Technology Letters,0.961,139,592,1996,9936,5573,1988.0,2.84,16.78,2.80332
IEEE Transactions on Multimedia,0.954,101,299,590,10564,3068,577.0,5.11,35.33,5.31716
Discrete Event Dynamic Systems: Theory and Applications,0.944,42,32,75,788,98,70.0,1.29,24.63,1.4
IEEE Power and Energy Magazine,0.942,59,73,227,267,433,183.0,2.36,3.66,2.36612
IEEE Transactions on Broadcasting,0.941,68,83,223,2000,1047,223.0,5.05,24.1,4.69507
Signal Processing,0.94,105,361,1120,12918,4362,1104.0,3.93,35.78,3.95109
IEEE Transactions on Instrumentation and Measurement,0.938,93,401,1021,10210,3486,999.0,3.29,25.46,3.48949
International Journal of Adaptive Control and Signal Processing,0.915,56,122,277,4098,681,272.0,2.26,33.59,2.50368
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,0.909,82,655,2412,15905,5430,2412.0,1.99,24.28,2.25124
"IET Generation, Transmission and Distribution",0.907,87,483,956,14131,3092,949.0,3.04,29.26,3.25817
IEEE Photonics Journal,0.893,52,682,1197,17274,3338,1188.0,2.84,25.33,2.80976
Engineering Applications of Artificial Intelligence,0.874,82,213,605,10291,2239,596.0,3.58,48.31,3.75671
IEEE Transactions on Circuits and Systems I: Regular Papers,0.869,141,320,852,8883,3087,844.0,3.42,27.76,3.65758
"IEEE Transactions on Audio, Speech and Language Processing",0.867,91,0,247,0,1320,245.0,4.91,0.0,5.38776
IEEE Transactions on Biomedical Circuits and Systems,0.865,53,139,284,4809,1129,265.0,4.12,34.6,4.26038
Meitan Xuebao/Journal of the China Coal Society,0.864,40,424,1479,8943,1812,1479.0,1.02,21.09,1.22515
IEEE Transactions on Professional Communication,0.845,37,32,74,1352,147,68.0,1.12,42.25,2.16176
