Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;5200152704;"Nature Nanotechnology";journal;"17483387";20,612;Q1;263;230;737;7058;18668;562;30,23;30,69;United Kingdom;"Nature Publishing Group";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
2;21100197947;"Nano Energy";journal;"22112855";5,185;Q1;85;718;1305;37335;17029;1303;12,83;52,00;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
3;21100403931;"Materials Horizons";journal;"20516355";5,025;Q1;38;111;192;8504;2356;187;13,04;76,61;United Kingdom;"Royal Society of Chemistry";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Process Chemistry and Technology (Q1)"
4;27130;"Progress in Quantum Electronics";journal;"00796727";3,999;Q1;54;15;23;2467;243;21;10,73;164,47;United Kingdom;"Elsevier Ltd.";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Statistical and Nonlinear Physics (Q1)"
5;24909;"Automatica";journal;"00051098";3,896;Q1;221;508;1275;14702;9444;1256;7,03;28,94;United Kingdom;"Elsevier Ltd.";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
6;17900156715;"IEEE Communications Surveys and Tutorials";journal;"1553877X";3,661;Q1;120;125;328;19223;8484;318;24,00;153,78;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
7;17339;"IEEE Transactions on Automatic Control";journal;"00189286";3,433;Q1;245;800;1212;19661;7118;1205;5,35;24,58;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
8;21100368207;"ACS Photonics";journal;"23304022";3,376;Q1;37;402;777;18378;5444;761;7,20;45,72;United States;"American Chemical Society";"Atomic and Molecular Physics, and Optics (Q1); Biotechnology (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
9;21100274221;"IEEE Transactions on Cybernetics";journal;"21682267";3,274;Q1;60;532;781;16918;7010;750;9,05;31,80;United States;"IEEE Advancing Technology for Humanity";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
10;17500155020;"Nano Research";journal;"19980124, 19980000";3,064;Q1;87;490;891;19044;6921;878;7,46;38,87;China;"Tsinghua University Press";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
11;21100269013;"Nanophotonics";journal;"21928606";2,916;Q1;31;103;104;9607;674;97;6,14;93,27;Germany;"Walter De Gruyter";"Atomic and Molecular Physics, and Optics (Q1); Biotechnology (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
12;28825;"IEEE Transactions on Power Systems";journal;"08858950";2,742;Q1;205;681;1240;14988;7944;1206;5,81;22,01;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
13;17360;"IEEE Transactions on Geoscience and Remote Sensing";journal;"01962892";2,649;Q1;197;611;1734;23172;9973;1721;5,63;37,92;United States;"Institute of Electrical and Electronics Engineers";"Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)"
14;18050;"International Journal of Robotics Research";journal;"02783649";2,471;Q1;128;93;281;3102;1694;268;5,60;33,35;United States;"SAGE Publications";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)"
15;17249;"IEEE Communications Magazine";journal;"01636804";2,297;Q1;199;386;1039;4561;11371;878;9,73;11,82;United States;"Institute of Electrical and Electronics Engineers";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
16;26055;"IEEE Transactions on Power Electronics";journal;"08858993";2,215;Q1;205;993;2036;25455;18213;2019;8,46;25,63;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
17;18063;"Journal of Power Sources";journal;"03787753";2,202;Q1;249;1328;5850;60773;40725;5809;7,03;45,76;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Physical and Theoretical Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
18;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";2,192;Q1;217;1112;2250;30512;20179;2238;8,44;27,44;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
19;29359;"Energy and Buildings";journal;"03787788";2,061;Q1;132;900;2602;38159;12856;2579;4,82;42,40;Netherlands;"Elsevier BV";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)"
20;17987;"International Journal of Robust and Nonlinear Control";journal;"10498923, 10991239";2,028;Q1;85;277;612;9417;2583;598;4,29;34,00;United States;"John Wiley & Sons Inc.";"Aerospace Engineering (Q1); Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)"
